"Parque Lajeado - Izaura Pereira de Souza Franzolin. Flora: última atualização do Herbário Municipal (PMSP) em 15/07/2021
GRUPO / FAMÍLIA / Espécie";nome popular;fonte de dados;hábito;status de conservação;origem;guia
ANGIOSPERMAS;;;;;;
ACANTHACEAE;;;;;;
Eranthemum pulchellum Andrews;camarão-azul;V;ee;;c;
Odontonema tubaeforme (Bertol.) Kuntze;odontonema;H;arb;;c;
Sanchezia oblonga Ruiz & Pav.;sanquésia;V;arb;;c;
ANACARDIACEAE;;;;;;
Mangifera indica L.;mangueira;V;árv;;s;X
Schinus terebinthifolia Raddi;aroeira-mansa;V;árv;;n;X
ANNONACEAE;;;;;;
Guatteria australis A.St.-Hil.;pindaíba;V;árv;;n;
ARACEAE;;;;;;
Anthurium sp.;antúrio;V;eriz;;c;
Philodendron sp.;filodendro;V;tr;;n;
Raphidophora decursiva (Roxb.) Schott;rafidófora;V;he;;c;
Syngonium sp.;singônio;V;he;;c;
Thaumatophyllum bipinnatifidum (Schott ex Endl.) Sakur., Calazans & Mayo;"guaimbé, costela-de-
adão";V;he;;n;
Xanthosoma sp.;taioba;V;eriz;;c;
ARECACEAE;;;;;;
Dypsis lutescens (H.Wendl.) Beentje & J.Dransf.;areca-bambu;V;pc;;c;
Euterpe edulis Mart.;palmito-jussara;V;pu;VUBR, VUSP;n;X
Phoenix canariensis Chabaud;tamareira-das- canárias;V;pu;;c;
Phoenix sp.;tamareira;V;pc;;c;
Syagrus romanzoffiana (Cham.) Glassman;jerivá;V;pu;;n;X
ASPARAGACEAE;;;;;;
Agave attenuata Salm-Dyck;tromba-de- elefante;V;dr;;c;
Asparagus setaceus (Kunth) Jessop;aspargo- samambaia;V;tr;;c;
Dracaena fragrans (L.) Ker Gawl.;pau-d'água, dracena;V;dr;;i;
BALSAMINACEAE;;;;;;
Impatiens walleriana Hook.f.;maria-sem- vergonha;V;ee;;i;
BIGNONIACEAE;;;;;;
Handroanthus chrysotrichus (Mart. ex DC.) Mattos;ipê-amarelo;V;avt;;n;
Tecoma stans (L.) Juss. ex Kunth;ipê-de-jardim;V;avt;;i;
BORAGINACEAE;;;;;;
Cordia magnoliifolia Cham.;grão-de-galo;V;árv;;n;
BURSERACEAE;;;;;;
Protium sp.;;V;árv;;n;
CANELLACEAE;;;;;;
Cinnamodendron dinisii Schwacke;pimenteira, pau-para-tudo;V;árv;;n;
CELASTRACEAE;;;;;;
Monteverdia evonymoides (Reissek) Biral;cafezinho;H;avt;;n;
COSTACEAE;;;;;;
Costus spiralis (Jacq.) Roscoe;cana-do-brejo;V;eriz;;n;
CUCURBITACEAE;;;;;;
Sicyos edulis Jacq.;chuchu;V;tr;;i;
EBENACEAE;;;;;;
Diospyros kaki L.f.;caqui;V;avt;;c;
EUPHORBIACEAE;;;;;;
Alchornea sidifolia Müll.Arg.;tapiá-guaçu;V;árv;;n;X
Croton floribundus Spreng.;capixingui;V;árv;;n;
FABACEAE;;;;;;
Arachis repens Handro;grama- amendoim;V;era;;n;
Erythrina speciosa Andrews;suinã;V;avt;;n;
Holocalyx balansae Micheli;alecrim-de- campinas;V;árv;;c;
Hymenaea courbaril L.;jatobá;V;árv;;n;
Libidibia ferrea (Mart. ex Tul.) L.P.Queiroz var. leiostachya (Benth.) L.P.Queiroz;pau-ferro;V;árv;;c;
